screen_name,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
julioprofenet,0,0,0,0,0,2
levibernhardt,0,0,0,0,0,2
BigLadDogg,0,0,0,0,0,2
3n3j0ta,0,0,0,0,0,2
thekingofrandom,0,0,0,0,0,2
milesjai,0,0,0,0,0,2
emmachamberlain,0,0,0,0,0,2
MILCKMUSIC,0,0,0,0,0,2
BeleafMel,0,0,0,0,0,2
EhBeeFamily,0,0,0,0,0,2
VidCon,0,0,0,0,0,2
noobde,0,0,0,0,0,2
Twitch,0,0,0,0,0,2
lizakoshy,0,0,0,0,0,2
AndreaRussett,0,0,0,0,0,2
TTLYTEALA,0,0,0,0,0,2
lifeofrickey,0,0,0,0,0,2
KristenMcAtee,0,0,0,0,0,2
tanamongeau,0,0,0,0,0,2
JoeyGraceffa,0,0,0,0,0,2
RosannaPansino,0,0,0,0,0,2
ItsFunneh,0,0,0,0,0,2
TimothyDeLaG,0,0,0,0,0,2
Toomuchabi,0,0,0,0,0,2
EscapeTheNight,0,0,0,0,0,2
ijustine,0,0,0,0,0,2
GabbieHanna,0,0,0,0,0,2
ColleenB123,0,0,0,0,0,2
AlexWassabi,0,0,0,0,0,2
DeStorm,0,0,0,0,0,2
thephysicsgirl,0,0,0,0,0,2
Hevesh5,0,0,0,0,0,2
terrysongtv,0,0,0,0,0,2
AndruEdwards,0,0,0,0,0,2
alonzolerone,0,0,0,0,0,2
sydneyitssydney,0,0,0,0,0,2
sofiedossi,0,0,0,0,0,2
NextTownDownNow,0,0,0,0,0,2
SamuelTsui,0,0,0,0,0,2
PhoenixFromYT,0,0,0,0,0,2
jarvis,0,0,0,0,0,2
nealmohan,0,0,0,0,0,2
